start_year,start_month_dec,end_year,end_month_dec
1918,0.583333333,1919,0.166666667
1920,0,1921,0.5
1923,0.333333333,1924,0.5
1926,0.75,1927,0.833333333
1929,0.583333333,1933,0.166666667
1937,0.333333333,1938,0.416666667
1945,0.083333333,1945,0.75
1948,0.833333333,1949,0.75
1953,0.5,1954,0.333333333
1957,0.583333333,1958,0.25
1960,0.25,1961,0.083333333
1969,0.916666667,1970,0.833333333
1973,0.833333333,1975,0.166666667
1980,0,1980,0.5
1981,0.5,1982,0.833333333
1990,0.5,1991,0.166666667
2001,0.166666667,2001,0.833333333
2007,0.916666667,2009,0.416666667